data,cota,pl
2012-03-07,1.0000000000,450000.0000000000
2012-03-08,1.0003475000,450156.3900000000
2012-03-09,1.0006704000,450301.7000000000
2012-03-12,1.0012742000,1800573.3900000000
2012-03-13,1.0052404000,1807705.8600000000
2012-03-14,1.0063897000,1809772.6500000000
2012-03-15,0.9878702000,2676469.3300000000
2012-03-16,0.9850185000,2668743.0600000000
2012-03-19,0.9819764000,2660501.1600000000
2012-03-20,0.9833829000,2664311.8700000000
2012-03-21,0.9888826000,2679212.3700000000
2012-03-22,0.9901081000,2682532.6300000000
2012-03-23,0.9891003000,2679802.0400000000
2012-03-26,0.9859963000,2671392.3400000000
2012-03-27,0.9891418000,2679914.5000000000
2012-03-28,0.9901875000,2682747.7700000000
2012-03-29,0.9910057000,2684964.5800000000
2012-03-30,0.9900319000,2682326.1700000000
2012-04-02,0.9946444000,2694822.9500000000
2012-04-03,1.0024079000,2715856.7800000000
2012-04-04,1.0096234000,2735406.0000000000
2012-04-05,1.0088405000,2733284.8300000000
2012-04-09,1.0108039000,2738604.3800000000
2012-04-10,1.0099811000,2736375.1700000000
2012-04-11,1.0097203000,2735668.6000000000
2012-04-12,1.0101358000,2836794.4100000000
2012-04-13,1.0037501000,2818861.0700000000
2012-04-16,0.9998225000,2807831.0800000000
2012-04-17,1.0089033000,2833332.9200000000
2012-04-18,1.0113737000,2840270.6100000000
2012-04-19,1.0494613000,2947233.3300000000
2012-04-20,1.0511836000,2952069.9800000000
2012-04-23,1.0426525000,2928111.9300000000
2012-04-24,1.0463464000,2938485.6600000000
2012-04-25,1.0460825000,2937744.3200000000
2012-04-26,1.0497487000,2948040.2200000000
2012-04-27,1.0571597000,3068852.7600000000
2012-04-30,1.0585727000,3072954.7700000000
2012-05-02,1.0673103000,3098319.2500000000
2012-05-03,1.0715510000,3110629.7000000000
2012-05-04,1.0826077000,3142726.4500000000
2012-05-07,1.0791586000,3132713.9200000000
2012-05-08,1.0741590000,3118200.6200000000
2012-05-09,1.0653265000,3092560.4700000000
2012-05-10,1.0684423000,3121605.3600000000
2012-05-11,1.0753406000,3141759.8200000000
2012-05-14,1.0801747000,3155883.3100000000
2012-05-15,1.0906757000,3186563.3000000000
2012-05-16,1.1007873000,3216106.0200000000
2012-05-17,1.1007739000,3216066.8400000000
2012-05-18,1.1013082000,3217627.6600000000
2012-05-21,1.0866634000,3174840.8300000000
2012-05-22,1.0830496000,3164282.6400000000
2012-05-23,1.0814703000,3159668.6400000000
2012-05-24,1.0410786000,3041658.5000000000
2012-05-25,1.0413675000,3042502.4500000000
2012-05-28,1.0427809000,3146632.1300000000
2012-05-29,1.0366211000,3128044.6000000000
2012-05-30,1.0345062000,3141662.6600000000
2012-05-31,1.0375514000,3133842.4200000000
2012-06-01,1.0393269000,3439205.2700000000
2012-06-04,1.0371197000,3431901.4100000000
2012-06-05,1.0369991000,3431502.4000000000
2012-06-06,1.0362681000,3449083.5500000000
2012-06-08,1.0416979000,3467155.8400000000
2012-06-11,1.0467443000,3483952.0600000000
2012-06-12,1.0485428000,3489938.0700000000
2012-06-13,1.0426354000,3470276.0300000000
2012-06-14,1.0443942000,3476130.0600000000
2012-06-15,1.0428395000,3470955.5400000000
2012-06-18,1.0435879000,3473446.3300000000
2012-06-19,1.0424090000,3469522.7300000000
2012-06-20,1.0413764000,3466085.7800000000
2012-06-21,1.0434824000,3473095.2100000000
2012-06-22,1.0425148000,3469874.6800000000
2012-06-25,1.0475361000,3486587.5800000000
2012-06-26,1.0475522000,3486640.9200000000
2012-06-27,1.0482808000,3489066.1500000000
2012-06-28,1.0493616000,3492663.3800000000
2012-06-29,1.0461637000,3482019.6300000000
2012-07-02,1.0469387000,3464504.1700000000
2012-07-03,1.0432081000,3452158.9800000000
2012-07-04,1.0430617000,3451674.5500000000
2012-07-05,1.0377449000,3434080.4200000000
2012-07-06,1.0450046000,3458103.8700000000
2012-07-09,1.0456963000,3460392.9600000000
2012-07-10,1.0531898000,3485190.1600000000
2012-07-11,1.0538604000,3487409.4500000000
2012-07-12,1.0545404000,3489659.4900000000
2012-07-13,1.0491231000,3491732.9000000000
2012-07-16,1.0517980000,3500635.5700000000
2012-07-17,1.0514934000,3499621.6200000000
2012-07-18,1.0532584000,3505496.1300000000
2012-07-19,1.0609062000,3530949.7500000000
2012-07-20,1.0622464000,3535410.1600000000
2012-07-23,1.0671304000,3551665.4500000000
2012-07-24,1.0657393000,3547035.4400000000
2012-07-25,1.0673751000,3552479.7600000000
2012-07-26,1.0655346000,3546354.1500000000
2012-07-27,1.0582997000,3522274.7400000000
2012-07-30,1.0624204000,3535989.4300000000
2012-07-31,1.0661942000,3548549.5000000000
2012-08-01,1.0655506000,3546407.4800000000
2012-08-02,1.0685051000,3556240.7100000000
2012-08-03,1.0681036000,3534720.9100000000
2012-08-06,1.0672319000,3531836.1900000000
2012-08-07,1.0697070000,3540027.1400000000
2012-08-08,1.0560075000,3494690.8300000000
2012-08-09,1.0636859000,3520101.4800000000
2012-08-10,1.0635679000,3519710.6600000000
2012-08-13,1.0696590000,3539868.3300000000
2012-08-14,1.0740152000,3554284.5900000000
2012-08-15,1.0715153000,3546011.3500000000
2012-08-16,1.0672352000,3531847.0700000000
2012-08-17,1.0693230000,3538756.3000000000
2012-08-20,1.0712800000,3545232.8500000000
2012-08-21,1.0716010000,3546295.0300000000
2012-08-22,1.0719403000,3547417.8400000000
2012-08-23,1.0722427000,3548418.8600000000
2012-08-24,1.0724225000,3549013.7600000000
2012-08-27,1.0726883000,3549893.4600000000
2012-08-28,1.0729660000,3550812.4700000000
2012-08-29,1.0732551000,3551769.0000000000
2012-08-30,1.0735254000,3552663.5200000000
2012-08-31,1.0737693000,3553470.5900000000
2012-09-03,1.0740152000,3554284.6200000000
2012-09-04,1.0742654000,3555112.3800000000
2012-09-05,1.0745154000,3555939.9700000000
2012-09-06,1.0747543000,3576730.3200000000
2012-09-10,1.0750157000,3577600.2400000000
2012-09-11,1.0752680000,3578440.0100000000
2012-09-12,1.0755351000,3579328.9900000000
2012-09-13,1.0757943000,3580191.6400000000
2012-09-14,1.0760558000,3581061.8400000000
2012-09-17,1.0763210000,3581944.3800000000
2012-09-18,1.0765640000,3582753.0800000000
2012-09-19,1.0768255000,3583623.2700000000
2012-09-20,1.0770871000,3584493.7400000000
2012-09-21,1.0773526000,3585377.4800000000
2012-09-24,1.0776182000,3586261.2700000000
2012-09-25,1.0778838000,3587145.4400000000
2012-09-26,1.0781462000,3588018.6800000000
2012-09-27,1.0784122000,3588903.7400000000
2012-09-28,1.0786819000,3589801.4000000000
2012-10-01,1.0780266000,3587620.4800000000
2012-10-02,1.0783038000,3588542.8800000000
2012-10-03,1.0785931000,3589505.9300000000
2012-10-04,1.0788874000,3590485.3000000000
2012-10-05,1.0791801000,3591459.2200000000
2012-10-08,1.0795269000,3592613.3900000000
2012-10-09,1.0798332000,3593632.7700000000
2012-10-10,1.0800153000,3594238.8800000000
2012-10-11,1.0803371000,3595309.8400000000
2012-10-15,1.0806138000,3596230.5900000000
2012-10-16,1.0809100000,3597216.3900000000
2012-10-17,1.0808382000,3596977.3500000000
2012-10-18,1.0804275000,3815610.6100000000
2012-10-19,1.0809817000,4167567.7000000000
2012-10-22,1.0815236000,4169657.1000000000
2012-10-23,1.0822452000,4172439.0100000000
2012-10-24,1.0820806000,4171804.4000000000
2012-10-25,1.0791989000,4160694.3600000000
2012-10-26,1.0793479000,4161268.7600000000
2012-10-29,1.0802036000,4164568.0400000000
2012-10-30,1.0813446000,4168967.0200000000
2012-10-31,1.0810071000,4167665.6100000000
2012-11-01,1.0808236000,4166958.1800000000
2012-11-05,1.0807639000,4166728.2500000000
2012-11-06,1.0778775000,4155600.0800000000
2012-11-07,1.0755969000,4146807.5800000000
2012-11-08,1.0797643000,4162874.1200000000
2012-11-09,1.0791889000,4160655.8000000000
2012-11-12,1.0804970000,4165698.9500000000
2012-11-13,1.0806989000,4166477.4000000000
2012-11-14,1.0812362000,4168548.9900000000
2012-11-16,1.0804996000,4165709.2300000000
2012-11-19,1.0839733000,4179101.4800000000
2012-11-20,1.0847398000,4182056.5900000000
2012-11-21,1.0860572000,4187135.6000000000
2012-11-22,1.0893362000,4199777.5100000000
2012-11-23,1.0704562000,4096750.6900000000
2012-11-26,1.0705475000,4097100.2900000000
2012-11-27,1.0660941000,4080056.7000000000
2012-11-28,1.0715028000,4100756.3500000000
2012-11-29,1.0794809000,4131289.5300000000
2012-11-30,1.0995530000,4176575.1900000000
2012-12-03,1.0979748000,4170580.6200000000
2012-12-04,1.0926911000,4150510.5700000000
2012-12-05,1.0614818000,4031964.3400000000
2012-12-06,1.0748636000,4082794.0200000000
2012-12-07,1.0636794000,4040311.6200000000
2012-12-10,1.0607990000,4029370.7700000000
2012-12-11,1.0547995000,4006582.0200000000
2012-12-12,1.0594741000,4024338.0900000000
2012-12-13,1.0604936000,4028210.7300000000
2012-12-14,1.0457140000,3972071.3600000000
2012-12-17,1.0452561000,3970332.1900000000
2012-12-18,1.0425030000,3959874.7100000000
2012-12-19,1.0338380000,3926961.2700000000
2012-12-20,1.0213161000,3879397.7100000000
2012-12-21,1.0263068000,3898354.4800000000
2012-12-24,1.0273376000,3902269.9700000000
2012-12-26,1.0432236000,3962611.9400000000
2012-12-27,1.0504175000,3989937.4300000000
2012-12-28,1.0544721000,4005338.6500000000
2012-12-31,1.0562424000,4012063.0300000000
2013-01-02,1.0418027000,3957214.5400000000
2013-01-03,1.0467556000,3976027.7800000000
2013-01-04,1.0582321000,4019620.6700000000
2013-01-07,1.0686880000,4059336.7000000000
2013-01-08,1.0699257000,4064037.9000000000
2013-01-09,1.0685925000,4058973.7500000000
2013-01-10,1.0696947000,4063160.3400000000
2013-01-11,1.0717777000,4071072.6300000000
2013-01-14,1.0758940000,4086708.2800000000
2013-01-15,1.0770293000,4091020.6300000000
2013-01-16,1.0698857000,4063886.1800000000
2013-01-17,1.0743621000,4080889.2700000000
2013-01-18,1.0740490000,4079700.0900000000
2013-01-21,1.0760926000,4087462.6500000000
2013-01-22,1.0772724000,4091943.6900000000
2013-01-23,1.0834471000,4115398.1300000000
2013-01-24,1.0922518000,4148842.0600000000
2013-01-25,1.0925322000,4149906.9900000000
2013-01-28,1.1129142000,4227326.6700000000
2013-01-29,1.1216948000,4260679.1600000000
2013-01-30,1.1176604000,4245354.8600000000
2013-01-31,1.1227569000,4264713.4400000000
2013-02-01,1.1189634000,4250304.3900000000
2013-02-04,1.1188248000,4249777.6800000000
2013-02-05,1.1254319000,4254692.3200000000
2013-02-06,1.1246685000,4251806.3500000000
2013-02-07,1.1367328000,4297415.4400000000
2013-02-08,1.1363683000,4296037.6800000000
2013-02-13,1.1384237000,4303808.0200000000
2013-02-14,1.1412838000,4314620.6600000000
2013-02-15,1.1464089000,4333995.8300000000
2013-02-18,1.1535119000,4360848.8200000000
2013-02-19,1.1556090000,4368776.9900000000
2013-02-20,1.1514227000,4352950.6900000000
2013-02-21,1.1421012000,4317710.7200000000
2013-02-22,1.1596358000,4384000.1700000000
2013-02-25,1.1524910000,4356989.3300000000
2013-02-26,1.1486933000,4492632.1400000000
2013-02-27,1.1462370000,4483025.4900000000
2013-02-28,1.1427253000,4469290.8900000000
2013-03-01,1.1423563000,4467847.7100000000
2013-03-04,1.1423626000,4467872.2600000000
2013-03-05,1.1465000000,4484053.8100000000
2013-03-06,1.1374853000,4448796.7900000000
2013-03-07,1.1366833000,4445660.0500000000
2013-03-08,1.1565578000,4523390.7600000000
2013-03-11,1.1386329000,4453285.2500000000
2013-03-12,1.1488208000,4943130.9600000000
2013-03-13,1.1472582000,4916216.8900000000
2013-03-14,1.1283434000,4835163.1800000000
2013-03-15,1.1302446000,4843310.2700000000
2013-03-18,1.1324439000,4852734.6700000000
2013-03-19,1.1274413000,4831297.5900000000
2013-03-20,1.1299854000,4842199.5500000000
2013-03-21,1.1304930000,4844374.4600000000
2013-03-22,1.1339802000,4859317.7800000000
2013-03-25,1.1324588000,4852798.3200000000
2013-03-26,1.1347158000,4982470.1700000000
2013-03-27,1.1295362000,4959726.7800000000
2013-03-28,1.1362582000,4989242.9000000000
2013-04-01,1.1392925000,5002566.0000000000
2013-04-02,1.1397933000,5004764.9800000000
2013-04-03,1.1404059000,5007455.0900000000
2013-04-04,1.1360950000,4988526.2700000000
2013-04-05,1.1199859000,4917791.8400000000
2013-04-08,1.1233502000,4932564.4400000000
2013-04-09,1.1243310000,4936871.3000000000
2013-04-10,1.1285907000,4955575.3700000000
2013-04-11,1.1333459000,4976455.2200000000
2013-04-12,1.1521608000,5059070.2900000000
2013-04-15,1.1554456000,5073493.5300000000
2013-04-16,1.1584464000,5086669.8800000000
2013-04-17,1.1578142000,5083894.0100000000
2013-04-18,1.1470599000,5036672.2700000000
2013-04-19,1.1487213000,5043967.6100000000
2013-04-22,1.1459669000,5031873.2000000000
2013-04-23,1.1425294000,5016779.2900000000
2013-04-24,1.1406689000,5008609.6600000000
2013-04-25,1.1515425000,5056355.4000000000
2013-04-26,1.1498576000,5048956.7100000000
2013-04-29,1.1431471000,5019491.3200000000
2013-04-30,1.1388458000,5000604.8000000000
2013-05-02,1.1349423000,4983464.5000000000
2013-05-03,1.1374205000,4994346.5100000000
2013-05-06,1.1310607000,4966420.6800000000
2013-05-07,1.1273431000,4950097.1400000000
2013-05-08,1.1272441000,4949662.2600000000
2013-05-09,1.1277485000,4951877.3700000000
2013-05-10,1.1329628000,4974772.7500000000
2013-05-13,1.1304337000,4963667.8400000000
2013-05-14,1.1331164000,4975447.3800000000
2013-05-15,1.1345892000,4981914.3200000000
2013-05-16,1.1439079000,5022832.3100000000
2013-05-17,1.1462750000,5033226.0100000000
2013-05-20,1.1494103000,5046993.0400000000
2013-05-21,1.1487152000,5043940.7300000000
2013-05-22,1.1532152000,5063700.0200000000
2013-05-23,1.1495234000,5047489.5000000000
2013-05-24,1.1509541000,5053771.3800000000
2013-05-27,1.1543363000,5068622.4900000000
2013-05-28,1.1593914000,5090819.1000000000
2013-05-29,1.1706386000,5140204.9700000000
2013-05-31,1.2315842000,5325267.4700000000
2013-06-03,1.2263460000,5302618.1300000000
2013-06-04,1.2315626000,5325174.2900000000
2013-06-05,1.2349920000,5610002.5200000000
2013-06-06,1.2365767000,5617201.4100000000
2013-06-07,1.2437329000,5649708.7600000000
2013-06-10,1.2572800000,5711246.6300000000
2013-06-11,1.2589277000,5718731.3700000000
2013-06-12,1.2698140000,5768182.9700000000
2013-06-13,1.2610285000,5728274.5000000000
2013-06-14,1.2639292000,5741451.0600000000
2013-06-17,1.2928932000,5873021.2500000000
2013-06-18,1.3038443000,5922766.8600000000
2013-06-19,1.3160640000,6078275.5700000000
2013-06-20,1.3567081000,6265991.2500000000
2013-06-21,1.3549225000,6257744.7400000000
2013-06-24,1.3251816000,6120385.2100000000
2013-06-25,1.3134449000,6066179.0700000000
2013-06-26,1.3051676000,6027950.2800000000
2013-06-27,1.2985120000,5997211.3500000000
2013-06-28,1.3197307000,6095210.3000000000
2013-07-01,1.3191955000,6092738.5800000000
2013-07-02,1.3110015000,6054894.3800000000
2013-07-03,1.3185412000,6089716.6000000000
2013-07-04,1.3164540000,6080076.7900000000
2013-07-05,1.3107244000,6053614.3700000000
2013-07-08,1.3159023000,6077528.9200000000
2013-07-09,1.3166305000,6080892.0700000000
2013-07-10,1.3255423000,6122051.5600000000
2013-07-11,1.3217887000,6104715.2600000000
2013-07-12,1.3254313000,6121538.6500000000
2013-07-15,1.3057639000,6030704.5200000000
2013-07-16,1.2982253000,5995887.1100000000
2013-07-17,1.2979311000,6024528.4900000000
2013-07-18,1.2972392000,6021316.7800000000
2013-07-19,1.2992941000,6030854.8500000000
2013-07-22,1.2984193000,6026794.3400000000
2013-07-23,1.2975394000,6022709.9900000000
2013-07-24,1.2985625000,6027459.1300000000
2013-07-25,1.2932235000,6002677.4900000000
2013-07-26,1.2942484000,6007434.7700000000
2013-07-29,1.2964767000,6017777.3200000000
2013-07-30,1.3010082000,6038811.3000000000
2013-07-31,1.2981288000,6075445.9200000000
2013-08-01,1.2978249000,6074023.5100000000
2013-08-02,1.2898880000,6036877.6400000000
2013-08-05,1.2968330000,6069381.3300000000
2013-08-06,1.2997198000,6082891.9800000000
2013-08-07,1.2958955000,6064993.6800000000
2013-08-08,1.2778199000,5980396.9100000000
2013-08-09,1.2564703000,5880477.7200000000
2013-08-12,1.2682270000,5935501.0900000000
2013-08-13,1.2827171000,6003316.6900000000
2013-08-14,1.2848644000,6013366.4700000000
2013-08-15,1.2838204000,6008480.5700000000
2013-08-16,1.3515158000,6325305.5100000000
2013-08-19,1.3889912000,6500696.3100000000
2013-08-20,1.3542601000,6338149.3600000000
2013-08-21,1.3816038000,6466121.9900000000
2013-08-22,1.3696584000,6410215.7800000000
2013-08-23,1.3062724000,6113559.4800000000
2013-08-26,1.3376127000,6260236.5700000000
2013-08-27,1.3438132000,6289256.2500000000
2013-08-28,1.3232660000,6193091.9100000000
2013-08-29,1.3530712000,6332585.0100000000
2013-08-30,1.3665896000,6395853.3500000000
2013-09-02,1.3591720000,7011137.6400000000
2013-09-03,1.3602091000,7016487.6800000000
2013-09-04,1.3554161000,6991763.2800000000
2013-09-05,1.3387607000,6905848.1100000000
2013-09-06,1.3218765000,6818752.8600000000
2013-09-09,1.3203272000,6810761.3000000000
2013-09-10,1.3177976000,6797712.5200000000
2013-09-11,1.3245501000,6832544.7300000000
2013-09-12,1.3419049000,6947067.4000000000
2013-09-13,1.3347909000,6910238.0700000000
2013-09-16,1.3350038000,6911339.9800000000
2013-09-17,1.3337590000,6904895.9300000000
2013-09-18,1.3036446000,6848992.8000000000
2013-09-19,1.3048327000,6855235.1200000000
2013-09-20,1.3023992000,6842449.9200000000
2013-09-23,1.3096395000,6880488.7800000000
2013-09-24,1.3145699000,6906391.4900000000
2013-09-25,1.3017226000,6838895.2400000000
2013-09-26,1.2966438000,6812212.4600000000
2013-09-27,1.2917892000,6836708.0100000000
2013-09-30,1.2927162000,6841613.8600000000
2013-10-01,1.2950432000,6853929.7800000000
2013-10-02,1.2957649000,6857749.0700000000
2013-10-03,1.2982827000,6871074.4200000000
2013-10-04,1.2962866000,6860509.9400000000
2013-10-07,1.2995138000,6877589.7400000000
2013-10-08,1.3022985000,6892327.6800000000
2013-10-09,1.3020862000,6891204.0300000000
2013-10-10,1.3060322000,6912088.1000000000
2013-10-11,1.3121966000,6944712.7400000000
2013-10-14,1.3031170000,6896659.5200000000
2013-10-15,1.3034693000,6898524.2100000000
2013-10-16,1.3087097000,6926258.4700000000
2013-10-17,1.3168920000,6969563.0400000000
2013-10-18,1.3127006000,6947380.4100000000
2013-10-21,1.3088713000,6927113.7900000000
2013-10-22,1.3032301000,6897257.9800000000
2013-10-23,1.2979971000,6869562.9700000000
2013-10-24,1.2970983000,6864806.0200000000
2013-10-25,1.2951691000,6854595.6000000000
2013-10-28,1.2879836000,6816566.8500000000
2013-10-29,1.2898873000,6826642.2200000000
2013-10-30,1.2856707000,6804326.3800000000
2013-10-31,1.2872422000,6812643.2200000000
2013-11-01,1.2984712000,6872071.8300000000
2013-11-04,1.2881275000,6817328.8300000000
2013-11-05,1.3035062000,6948719.5900000000
2013-11-06,1.3071487000,6968136.6800000000
2013-11-07,1.3346655000,7114823.2000000000
2013-11-08,1.3422928000,7155482.4400000000
2013-11-11,1.3546841000,7221538.0300000000
2013-11-12,1.3436865000,7162912.4500000000
2013-11-13,1.3393792000,7139950.9200000000
2013-11-14,1.3186017000,7029190.1600000000
2013-11-18,1.2785260000,6815555.0300000000
2013-11-19,1.2772512000,6808759.5100000000
2013-11-20,1.2776000000,6810618.7700000000
2013-11-21,1.3077908000,6971559.5600000000
2013-11-22,1.2958478000,6907893.9300000000
2013-11-25,1.2971069000,6914606.0000000000
2013-11-26,1.3019457000,6940400.5600000000
2013-11-27,1.3041829000,6952326.8100000000
2013-11-28,1.2721793000,6781722.4200000000
2013-11-29,1.2785425000,6783758.4600000000
2013-12-02,1.2902786000,6846028.4200000000
2013-12-03,1.3018432000,6907388.7700000000
2013-12-04,1.3054424000,6926485.2100000000
2013-12-05,1.2936966000,6864164.1000000000
2013-12-06,1.2746751000,6763238.4000000000
2013-12-09,1.2750355000,6765151.0200000000
2013-12-10,1.2727898000,6753235.3500000000
2013-12-11,1.2879230000,6833530.0500000000
2013-12-12,1.2979762000,6886870.7000000000
2013-12-13,1.2904975000,6847189.9200000000
2013-12-16,1.2920477000,6855415.2600000000
2013-12-17,1.2899277000,6844166.7400000000
2013-12-18,1.3016928000,6906590.7600000000
2013-12-19,1.2995197000,6945060.3300000000
2013-12-20,1.3024694000,6960824.4500000000
2013-12-23,1.2982231000,6938131.0800000000
2013-12-24,1.2986339000,6940326.5000000000
2013-12-26,1.2940411000,6915781.0800000000
2013-12-27,1.2882428000,6884793.1400000000
2013-12-30,1.2958555000,6925477.5600000000
2013-12-31,1.2962584000,6927630.9900000000
2014-01-02,1.3178432000,7042987.2200000000
2014-01-03,1.3119243000,7011354.4800000000
2014-01-06,1.3103533000,7002958.9600000000
2014-01-07,1.3103653000,7003022.9700000000
2014-01-08,1.3202067000,7055618.4000000000
2014-01-09,1.3260437000,7086813.3200000000
2014-01-10,1.3000539000,6947915.5500000000
2014-01-13,1.3142127000,7023584.5700000000
2014-01-14,1.3184520000,7046241.0700000000
2014-01-15,1.3052231000,7025541.1600000000
2014-01-16,1.3814662000,7485930.0500000000
2014-01-17,1.3678129000,7451945.2100000000
2014-01-20,1.3867812000,7555285.7200000000
2014-01-21,1.4004806000,7629921.3600000000
2014-01-22,1.3963594000,7607468.5500000000
2014-01-23,1.4079242000,7670474.6300000000
2014-01-24,1.4018827000,7637559.7500000000
2014-01-27,1.4062183000,7661180.5900000000
2014-01-28,1.4052611000,7655965.9500000000
2014-01-29,1.4012857000,7634307.7000000000
2014-01-30,1.4074289000,7667776.3100000000
2014-01-31,1.4051246000,7655222.0000000000
2014-02-03,1.4140954000,7704095.8100000000
2014-02-04,1.4075480000,7668424.7900000000
2014-02-05,1.4039565000,7648858.2300000000
2014-02-06,1.3894247000,7569687.8600000000
2014-02-07,1.3933522000,7591085.1700000000
2014-02-10,1.3967633000,7609669.3200000000
2014-02-11,1.3953970000,7602225.5400000000
2014-02-12,1.3975855000,7614148.5400000000
2014-02-13,1.4006235000,7630699.8600000000
2014-02-14,1.3985942000,7619643.8600000000
2014-02-17,1.3969808000,7610854.2300000000
2014-02-18,1.3993300000,7623652.8100000000
2014-02-19,1.3983307000,7618208.5900000000
2014-02-20,1.4008619000,7631998.3500000000
2014-02-21,1.4059037000,7659466.6700000000
2014-02-24,1.4112739000,7858723.8100000000
2014-02-25,1.4145926000,7927204.1500000000
2014-02-26,1.4108641000,7906310.0700000000
2014-02-27,1.4249491000,7985241.0000000000
2014-02-28,1.4189565000,8036658.9500000000
2014-03-05,1.4305525000,8003923.6600000000
